0
loan_amnt
funded_amnt
funded_amnt_inv
term
int_rate
installment
annual_inc
addr_state
dti
revol_bal
revol_util
total_acc
total_pymnt
total_pymnt_inv
total_rec_prncp
total_rec_int
last_pymnt_amnt
